"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"817" 1 2 3 "817" 1 2 3
"818" 1 2 3 "818" 1 2 3
"819" 1 2 3 "819" 1 2 3
"822" 1 2 3 "822" 1 2 3
"824" 1 1 2 "824" 1 2 2
"832" 1 1 2 "832" 1 2 3
"833" 1 1 2 "833" 1 2 3
"834" 1 1 2 "834" 1 2 3
"835" 1 1 2 "835" 1 2 3
"836" 1 1 2 "836" 1 2 3
"837" 1 2 3 "837" 1 2 3
"838" 1 1 2 "838" 1 2 3
"839" 1 1 2 "839" 1 2 3
"840" 1 2 3 "840" 1 2 3
"841" 1 1 1 "841" 1 2 3
"842" 1 1 1 "842" 1 2 3
"843" 1 1 1 "843" 1 2 3
"844" 1 1 1 "844" 1 2 3
"845" 1 1 1 "845" 1 1 1
"846" 1 2 3 "846" 1 2 3
"847" 1 2 3 "847" 1 2 3
"848" 1 2 3 "848" 1 2 3
"849" 1 2 3 "849" 1 2 3
"850" 1 2 3 "850" 2 3 4
"851" 1 2 3 "851" 1 2 3
"852" 1 2 3 "852" 1 2 3
"853" 1 2 3 "853" 1 2 3
"854" 1 2 3 "854" 1 1 1
"855" 1 2 3 "855" 1 2 3
"856" 1 2 3 "856" 1 2 3
"857" 1 2 3 "857" 2 3 4
"866" 1 1 2 "866" 2 3 4
"867" 2 3 4 "867" 2 3 4
"868" 1 2 3 "868" 2 3 4
"869" 1 1 2 "869" 2 3 4
"870" 1 1 2 "870" 2 3 4
"871" 1 1 2 "871" 1 2 3
"872" 1 1 1 "872" 1 1 1
"873" 1 2 3 "873" 1 1 1
"874" 1 1 1 "874" 1 1 1
"875" 1 1 1 "875" 1 1 1
"876" 1 1 1 "876" 1 1 1
"877" 1 1 1 "877" 1 1 1
"878" 1 1 1 "878" 1 1 1
"879" 1 1 1 "879" 1 1 1
"880" 1 2 3 "880" 1 2 3
"881" 1 2 3 "881" 1 2 3
"882" 1 2 3 "882" 1 1 1
"883" 1 2 3 "883" 1 2 3
"884" 1 2 3 "884" 1 2 3
"885" 1 1 1 "885" 1 2 3
"886" 1 2 3 "886" 1 2 3
"887" 1 2 3 "887" 1 2 3
"888" 1 2 3 "888" 1 1 1
"889" 1 2 3 "889" 1 2 3
"890" 1 2 3 "890" 1 2 3
"900" 2 3 4 "900" 2 3 4
"901" 1 2 3 "901" 1 2 3
"902" 1 2 3 "902" 1 2 3
"903" 1 1 2 "903" 2 3 4
"904" 1 1 2 "904" 1 2 3
"905" 1 2 3 "905" 1 2 3
"906" 1 2 3 "906" 1 2 3
"907" 1 2 3 "907" 1 2 3
"908" 1 1 1 "908" 1 2 3
"909" 1 2 3 "909" 2 3 4
"910" 1 2 3 "910" 2 3 4
"911" 1 1 1 "911" 1 1 1
"912" 1 1 1 "912" 1 1 1
"913" 1 1 1 "913" 1 2 3
"914" 1 2 3 "914" 1 2 3
"915" 1 2 3 "915" 1 2 3
"916" 1 2 3 "916" 1 2 3
"917" 1 2 3 "917" 1 2 3
"918" 1 2 3 "918" 1 2 3
"919" 1 2 3 "919" 1 1 1
"920" 1 2 3 "920" 1 1 1
"921" 1 1 1 "921" 1 1 1
"922" 1 2 3 "922" 1 2 3
"923" 1 2 3 "923" 1 2 3
"924" 1 2 3 "924" 1 2 3
"933" 2 3 4 "933" 2 3 4
"934" 2 3 4 "934" 2 3 4
"935" 1 1 2 "935" 1 2 3
"936" 1 1 1 "936" 1 1 1
"937" 1 1 2 "937" 1 2 3
"938" 1 1 1 "938" 1 1 1
"939" 1 1 1 "939" 1 1 1
"940" 1 1 1 "940" 2 3 4
"941" 1 1 1 "941" 1 1 1
"942" 1 2 3 "942" 2 3 4
"943" 1 1 1 "943" 1 2 3
"944" 2 3 4 "944" 2 3 4
"945" 1 2 3 "945" 1 2 3
"946" 1 2 3 "946" 1 2 3
"947" 1 2 3 "947" 1 2 3
"948" 1 2 3 "948" 1 2 3
"949" 1 2 3 "949" 1 2 3
"950" 1 2 3 "950" 1 2 3
"951" 1 2 3 "951" 1 2 3
"952" 1 2 3 "952" 1 2 3
"953" 1 2 3 "953" 1 2 3
"954" 1 2 3 "954" 1 2 3
"955" 1 2 3 "955" 1 2 3
"956" 1 2 3 "956" 1 2 3
"959" 2 3 4 "959" 2 3 4
"960" 2 3 4 "960" 2 3 4
"961" 2 3 4 "961" 2 3 4
"962" 2 3 4 "962" 2 3 4
"966" 2 3 4 "966" 2 3 4
"967" 2 3 4 "967" 2 3 4
"968" 2 3 4 "968" 2 3 4
"969" 1 1 2 "969" 1 1 1
"970" 1 1 2 "970" 1 2 3
"971" 1 2 3 "971" 1 2 3
"972" 1 1 1 "972" 1 1 1
"973" 1 1 1 "973" 1 2 3
"974" 1 2 3 "974" 1 2 3
"975" 1 2 3 "975" 2 3 4
"976" 2 3 4 "976" 2 3 4
"977" 2 3 4 "977" 2 3 4
"978" 1 2 3 "978" 2 3 4
"979" 1 1 1 "979" 1 2 3
"980" 1 2 3 "980" 1 2 3
"981" 1 2 3 "981" 1 2 3
"982" 1 2 3 "982" 1 2 3
"984" 1 2 3 "984" 1 1 1
"985" 1 2 3 "985" 1 2 3
"986" 1 2 3 "986" 1 2 3
"987" 1 2 3 "987" 1 2 3
"988" 1 2 3 "988" 1 2 3
"989" 1 2 3 "989" 1 2 3
"990" 1 2 3 "990" 1 2 3
